epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,93.8298,0.58817,0.94444,1,0.413,0.00018564,0.00018564,0.00018564
2,190.329,0.19367,0.96667,1,0.34493,0.000374674,0.000374674,0.000374674
3,286.308,0.19779,0.98889,1,0.33911,0.00055989,0.00055989,0.00055989
4,380.909,0.16415,0.98889,1,0.3304,0.000692794,0.000692794,0.000692794
5,479.638,0.14233,0.96667,1,0.37289,0.000685726,0.000685726,0.000685726
6,582.859,0.10376,0.97778,1,0.3468,0.000678657,0.000678657,0.000678657
7,673.769,0.08498,1,1,0.32694,0.000671588,0.000671588,0.000671588
8,761.992,0.1773,0.88889,1,0.42992,0.00066452,0.00066452,0.00066452
9,849.831,0.09987,0.95556,1,0.35862,0.000657451,0.000657451,0.000657451
10,938.226,0.1167,0.93333,1,0.36708,0.000650383,0.000650383,0.000650383
11,1025.88,0.08071,0.96667,1,0.35427,0.000643314,0.000643314,0.000643314
12,1114.04,0.08944,0.95556,1,0.35327,0.000636245,0.000636245,0.000636245
13,1203.87,0.06764,0.95556,1,0.36003,0.000629177,0.000629177,0.000629177
14,1290.15,0.04851,1,1,0.31691,0.000622108,0.000622108,0.000622108
15,1376.35,0.05471,1,1,0.32563,0.00061504,0.00061504,0.00061504
16,1462.86,0.04279,0.95556,1,0.34857,0.000607971,0.000607971,0.000607971
17,1549.57,0.05645,0.96667,1,0.3416,0.000600902,0.000600902,0.000600902
18,1635.81,0.09119,0.97778,1,0.33034,0.000593834,0.000593834,0.000593834
19,1722.21,0.08063,0.96667,1,0.33246,0.000586765,0.000586765,0.000586765
20,1808.49,0.03381,0.94444,1,0.36076,0.000579697,0.000579697,0.000579697
21,1895.22,0.11573,0.94444,1,0.34804,0.000572628,0.000572628,0.000572628
22,1981.28,0.09372,1,1,0.32387,0.000565559,0.000565559,0.000565559
23,2067.77,0.0641,0.98889,1,0.32934,0.000558491,0.000558491,0.000558491
24,2154.43,0.04765,0.97778,1,0.34607,0.000551422,0.000551422,0.000551422
25,2239.86,0.02944,0.95556,1,0.3612,0.000544354,0.000544354,0.000544354
26,2327.2,0.03165,0.95556,1,0.35409,0.000537285,0.000537285,0.000537285
27,2413.74,0.0263,0.93333,1,0.36873,0.000530216,0.000530216,0.000530216
28,2499.78,0.11608,0.96667,1,0.36154,0.000523148,0.000523148,0.000523148
29,2585.79,0.01911,0.88889,1,0.39206,0.000516079,0.000516079,0.000516079
30,2678.74,0.03654,0.95556,1,0.34544,0.000509011,0.000509011,0.000509011
