epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.096,0.93013,1.60473,0.98612,0.8237,0.45871,0.59717,0.43355,0.89735,2.00415,0.91249,0.000658824,0.000658824,0.000658824
2,907.292,0.85848,0.91449,0.95188,0.77972,0.69818,0.69214,0.52127,0.82435,1.01187,0.93282,0.001273,0.001273,0.001273
3,1343.67,0.85165,0.82948,0.94966,0.84366,0.68679,0.74973,0.54809,0.77875,0.89438,0.89599,0.00183438,0.00183438,0.00183438
4,1779.57,0.84007,0.76478,0.95126,0.79667,0.7124,0.72779,0.54842,0.77631,0.9228,0.93099,0.0017624,0.0017624,0.0017624
5,2215.74,0.80984,0.71691,0.94108,0.78892,0.72033,0.75049,0.56739,0.76177,0.75035,0.90254,0.0016832,0.0016832,0.0016832
6,2649.35,0.78021,0.66817,0.92966,0.87004,0.69455,0.76469,0.57955,0.73629,0.79037,0.89538,0.001604,0.001604,0.001604
7,3081.9,0.75624,0.6213,0.92784,0.84361,0.74545,0.76895,0.59541,0.73042,0.65135,0.86929,0.0015248,0.0015248,0.0015248
8,3514.95,0.75409,0.60573,0.92196,0.83748,0.74954,0.79815,0.62943,0.68957,0.58814,0.88661,0.0014456,0.0014456,0.0014456
9,3950.9,0.73673,0.58987,0.9186,0.83527,0.74545,0.80371,0.60777,0.70876,0.61328,0.89252,0.0013664,0.0013664,0.0013664
10,4384.13,0.73336,0.57965,0.91532,0.83441,0.71462,0.75577,0.59356,0.71832,0.64128,0.91426,0.0012872,0.0012872,0.0012872
11,4816.55,0.70939,0.55056,0.91259,0.84544,0.75273,0.79,0.6278,0.67664,0.58107,0.87055,0.001208,0.001208,0.001208
12,5249.04,0.71191,0.55221,0.9116,0.86814,0.71824,0.76441,0.59834,0.68191,0.60756,0.9042,0.0011288,0.0011288,0.0011288
13,5679.7,0.69387,0.53168,0.9064,0.91228,0.70182,0.80391,0.65474,0.66778,0.53639,0.87246,0.0010496,0.0010496,0.0010496
14,6117.22,0.70245,0.53228,0.90759,0.88057,0.75636,0.80992,0.65657,0.61934,0.54226,0.84843,0.0009704,0.0009704,0.0009704
15,6547.01,0.6857,0.50611,0.90683,0.86468,0.74355,0.79791,0.64004,0.6331,0.57775,0.85231,0.0008912,0.0008912,0.0008912
16,6969.93,0.62483,0.49513,0.86212,0.87546,0.72,0.78892,0.62958,0.63782,0.55186,0.90088,0.000812,0.000812,0.000812
17,7394.75,0.62367,0.47808,0.86276,0.88305,0.74182,0.79149,0.63576,0.6532,0.53402,0.87496,0.0007328,0.0007328,0.0007328
18,7818.18,0.61964,0.46795,0.85682,0.88577,0.73455,0.80894,0.66254,0.63089,0.48781,0.86088,0.0006536,0.0006536,0.0006536
19,8241.43,0.60904,0.45992,0.85721,0.86911,0.79273,0.82666,0.67272,0.61551,0.4899,0.85957,0.0005744,0.0005744,0.0005744
20,8664.28,0.59859,0.44699,0.85298,0.87381,0.73455,0.77504,0.62281,0.65837,0.52485,0.93445,0.0004952,0.0004952,0.0004952
21,9086.72,0.59022,0.43036,0.84625,0.86755,0.77091,0.81557,0.6635,0.63543,0.4771,0.89602,0.000416,0.000416,0.000416
22,9509.86,0.58486,0.41838,0.84814,0.89305,0.75913,0.8109,0.65418,0.65185,0.49921,0.91009,0.0003368,0.0003368,0.0003368
23,9932.68,0.57589,0.40766,0.84519,0.91202,0.75636,0.80368,0.6614,0.61778,0.48399,0.89127,0.0002576,0.0002576,0.0002576
24,10355.9,0.56726,0.40543,0.8454,0.89005,0.75636,0.81801,0.66869,0.5957,0.46158,0.8647,0.0001784,0.0001784,0.0001784
25,10779.6,0.56085,0.39682,0.84176,0.88325,0.74182,0.81388,0.66625,0.59272,0.47431,0.86603,9.92e-05,9.92e-05,9.92e-05
